29668	10000002	2012-12-16	572620000	581999991.98	579900000	3128	2151
29668	10000002	2012-12-17	572999990.005	581999000	581444399.9	2606	1757
29668	10000002	2012-12-18	573111000	581085981	580000000	2614	1792
29668	10000002	2012-12-19	572580007	580000500	579797999	3087	1870
29668	10000002	2012-12-20	572004027.01	580800989.99	579999999	2861	1894
29668	10000002	2012-12-21	572100030	580700000	578000000	3246	2058
29668	10000002	2012-12-22	565000000	572900000	566000000.72	4011	2388
29668	10000002	2012-12-23	555155110	565995014	563986999	3691	2315
29668	10000002	2012-12-24	561334200.04	570000000	566796000	3088	1982
29668	10000002	2012-12-25	561335233.535	569619000	561744444	2927	1814
29668	10000002	2012-12-26	554622999.28	564998450	561999990	3239	2197
29668	10000002	2012-12-27	557619000	566624997	564998997	3201	2162
29668	10000002	2012-12-28	555117015	565497998.86	563604012.05	4011	2382
29668	10000002	2012-12-29	548999999.99	559500000	552499999.99	3380	2284
29668	10000002	2012-12-30	547001001.02	557299999.99	554999999	3587	2258
29668	10000002	2012-12-31	545100000	552895999.01	550999998	3319	2005
29668	10000002	2013-01-01	548000000.5	558291999	556900000	3288	1937
29668	10000002	2013-01-02	550000000	558383500	557999999.99	3522	2107
29668	10000002	2013-01-03	564010040	572915000	569109001	3477	2077
29668	10000002	2013-01-04	557857281	570699000	568000000	3226	1987
29668	10000002	2013-01-05	557300000	568326999	562271600	3163	2026
29668	10000002	2013-01-06	557108100.01	567100000	565000000	2940	1991
29668	10000002	2013-01-07	556026999	566908996.99	563000000	2926	1811
29668	10000002	2013-01-08	558120000	567780000	566111111.15	2816	1768
29668	10000002	2013-01-09	557303104	567000000	565871112	2613	1666
29668	10000002	2013-01-10	560521112	570999999.99	567499999.98	2318	1589
29668	10000002	2013-01-11	560656600	569475009.45	565565555	2950	1895
29668	10000002	2013-01-12	557507000	567480000	565210000.02	3335	2182
29668	10000002	2013-01-13	557329000	566799999.9	564379999	3065	2124
29668	10000002	2013-01-14	555569127.79	565963999	562987001.13	3157	1933
29668	10000002	2013-01-15	557015000.01	566479000	565000000	3075	1949
29668	10000002	2013-01-16	560086000	568555555	566000000	2648	1821
29668	10000002	2013-01-17	558100001	570999999	565999999.99	2711	1818
29668	10000002	2013-01-18	557013000	567500000	560000000	3291	2030
29668	10000002	2013-01-19	553220000	563500000	559494900	3412	2110
29668	10000002	2013-01-20	551000000	560047057	558388888	3165	2155
29668	10000002	2013-01-21	554080000	563072000	560981000	3361	2000
29668	10000002	2013-01-22	553202000	562695999	559999999.99	2651	1758
29668	10000002	2013-01-23	550100001	559609999.98	557590209.995	3036	1936
