'2006-03-09',16655
'2006-03-16',14833
'2006-03-23',14829
'2006-03-30',14368
'2006-04-06',14825
'2006-04-13',15104
'2006-04-20',15028
'2006-04-27',15166
'2006-05-04',14719
'2006-05-11',13263
'2006-05-18',15406
'2006-05-25',16495
'2006-06-01',16066
'2006-06-08',15768
'2006-06-15',15008
'2006-06-22',15390
'2006-06-29',15322
'2006-07-06',15480
'2006-07-13',15617
'2006-07-20',15462
'2006-07-27',16031
'2006-08-03',16239
'2006-08-10',17244
'2006-08-17',15310
'2006-08-24',17507
'2006-08-31',16981
'2006-09-07',16680
'2006-09-14',16913
'2006-09-21',16474
'2006-09-28',17679
'2006-10-05',17359
'2006-10-12',17169
'2006-10-19',17505
'2006-10-26',16107
'2006-11-02',16399
'2006-11-09',17040
'2006-11-16',16739
'2006-11-23',15348
'2006-11-30',19426
'2006-12-07',19459
'2006-12-14',20195
'2006-12-21',18865
'2006-12-28',19976
'2007-01-04',20361
'2007-01-11',19904
'2007-01-18',19578
'2007-01-25',19164
'2007-02-01',19274
'2007-02-08',19186
'2007-02-15',19019
'2007-02-22',18448
'2007-03-01',19046
'2007-03-08',19850
'2007-03-15',18914
'2007-03-22',19549
'2007-03-29',18711
'2007-04-05',19958
'2007-04-12',18940
'2007-04-19',19054
'2007-04-26',18933
'2007-05-03',19979
'2007-05-10',19336
'2007-05-17',19877
'2007-05-24',19141
'2007-05-31',19936
'2007-06-07',18998
'2007-06-14',17572
'2007-06-21',20815
'2007-06-28',21001
'2007-07-05',21539
'2007-07-12',20485
'2007-07-19',20085
'2007-07-26',21109
'2007-08-02',19881
'2007-08-09',21196
'2007-08-16',20905
'2007-08-23',20488
'2007-08-30',21435
'2007-09-06',19874
'2007-09-13',21607
'2007-09-20',21061
'2007-09-27',20251
'2007-10-04',21897
'2007-10-11',21163
'2007-10-18',20694
'2007-10-25',22301
'2007-11-01',18901
'2007-11-08',23362
'2007-11-15',24090
'2007-11-22',20460
'2007-11-29',19352
'2007-12-06',23310
'2007-12-13',23616
'2007-12-20',23517
'2007-12-27',25087
'2008-01-03',25395
'2008-01-10',24533
'2008-01-17',24558
'2008-01-24',24466
'2008-01-31',23355
'2008-02-07',22323
'2008-02-14',23512
'2008-02-21',23697
'2008-02-28',25137
'2008-03-06',22503
'2008-03-13',24026
'2008-03-20',25922
'2008-03-27',24918
'2008-04-03',24214
'2008-04-10',25377
'2008-04-17',24053
'2008-04-24',23765
'2008-05-01',23164
'2008-05-08',22958
'2008-05-15',22543
'2008-05-22',23174
'2008-05-29',22743
'2008-06-05',20328
'2008-06-12',24541
'2008-06-19',24042
'2008-06-26',23718
'2008-07-03',24451
'2008-07-10',24788
'2008-07-17',24947
'2008-07-24',24487
'2008-07-31',24452
'2008-08-07',24200
'2008-08-14',24454
'2008-08-21',24615
'2008-08-28',23033
'2008-09-04',23447
'2008-09-11',17397
'2008-09-18',22091
'2008-09-25',22478
'2008-10-02',23098
'2008-10-09',23534
'2008-10-16',23508
'2008-10-23',23102
'2008-10-30',22885
'2008-11-06',20170
'2008-11-13',24531
'2008-11-20',24953
'2008-11-27',24293
'2008-12-04',25151
'2008-12-11',26020
'2008-12-18',27560
'2008-12-25',26565
'2009-01-01',28809
'2009-01-08',28098
'2009-01-15',28419
'2009-01-22',27022
'2009-01-29',27984
'2009-02-05',29971
'2009-02-12',29491
'2009-02-19',30098
'2009-02-26',29997
'2009-03-05',27835
'2009-03-12',30291
'2009-03-19',31358
'2009-03-26',31238
'2009-04-02',31188
'2009-04-09',31462
'2009-04-16',30003
'2009-04-23',31349
'2009-04-30',31429
'2009-05-07',31018
'2009-05-14',32487
'2009-05-21',6479
'2009-05-28',31562
'2009-06-04',32305
'2009-06-11',32059
'2009-06-18',30627
'2009-06-25',27373
'2009-07-02',28363
'2009-07-09',28592
'2009-07-16',28381
'2009-07-23',28916
'2009-07-30',28997
'2009-08-06',28291
'2009-08-13',28786
'2009-08-20',28012
'2009-08-27',29218
'2009-09-03',29861
'2009-09-10',28531
'2009-09-17',28653
'2009-09-24',28937
'2009-10-01',28601
'2009-10-08',29583
'2009-10-15',29381
'2009-10-22',29583
'2009-10-29',28963
'2009-11-05',28725
'2009-11-12',27784
'2009-11-19',27669
'2009-11-26',26040
'2009-12-03',30585
'2009-12-10',31439
'2009-12-17',32514
'2009-12-24',31537
'2009-12-31',33859
'2010-01-07',33037
'2010-01-14',32834
'2010-01-21',31708
'2010-01-28',32231
'2010-02-04',32868
'2010-02-11',32511
'2010-02-18',32858
'2010-02-25',32172
